tweet;sentimen
Tapi kayaknya itu satpol pp kota ****** sih jadi bukan area saya, suka berlebihan emang kota yg pengen dijuluki kota ****** ini \xf0\x9f\x98\x8c';negatif
"pak satpol PP kl puasanya ihklas dan bener"" sesuai akidah dan anjuran.jangan ada warung nasi didepan mata gw pun pak satpol PP makan dan minum gw ga akan kesambet utk batalin puasa. org yg masih ngelihat makanan dan minuman dianggap godaan iman itu artinya puasanya ga khusyu.'";negatif
b'Tak ada FPI, satpol pp pun jadi';negatif
Satpol PP ngambil job desk fpi';negatif
Lah emang orang makan salahnya dimana? Satpol PP gada akhlak';negatif
pdahal dosa dosa dia yg riber satpol pp ;negatif
"Suka bingung sm pihak2 yg suka bubarin paksa, menutup bahkan smpe nyita alat2 masak warteg yg buka saat ramadan.\n\n""hai orang2 yg beriman diwajibkan atas kamu berpuasa.."" seruan buat org beriman, yg g merasa beriman y berarti g puasa wes urusannya ama gusti Allah bkn sm satpol PP.'";negatif
kalau merujuk ke tindakan Satpol PP, apakah dia bertindak sesuai dengan peraturan yang ada?\nkalau misalkan iya, ada landasan untuk melakukan hal tersebut, bukankan baiknya yang dikritisi adalah peraturan, yang mana peraturan tersebut diskriminatif.';negatif
Satpol pp rusuh, ganggu orang makan';negatif
yg makan pada dibubarin lah biar satpol pp nya bisa makan disitu gimana masa ga ngerti';negatif
Kena lagi satpol PP Serang, dikira semua orang lagi puasa apa';negatif
fyi puasa ada juga di agama lain.\nkalau pusa itu perintah agama, lalu kenapa menggunakan perangkat pemerintah (Satpol PP) sebagai penertibnya?\nlalu puasa bukan hanya menahan hawa laparkan, tapi juga nafsu kan? rasa benci juga termasuk?';negatif
kaya satpol pp nya puasa aja sih ah, gitu aja di razia. lagian yg makan aja umpet umpetan ga makan pinggir jalan juga, please hargai orang yang ga puasa juga dong.';negatif
Satpol PP mengayomi masyarakat \xf0\x9f\x98\x8a';positif
"Puasa itu perintah agama atau perintah negara?""\nitu kan ?\nkalau melibatkan Satpol PP yang dimana dia termasuk perangkat pemerintah daerah berarti melibatkan negara.\n\n""....tapi puasa Islam, syariat dan hubungan syariat puasa ke negara.""\nitu bagian mana? https://t.co/wt51dTwidF'";negatif
Gara gara satpol pp grebek warung makan di siang hari. Terdapat warga kresten yang kelaparan dan trauma ikut makan siang siang.\nAlias tolong lah pemerentah coba dikaji ulang kerjaannya yang beneran dikit. Bukan engga bilang gaguna ya bukan. https://t.co/luEGXnzlPH';negatif
Satpol PP itu apa?\nBukanya dia perangkat Pemerintah Daerah yang gunannya buat memelihara ketentraman dan ketertiban umum serta menegakkan Peraturan Daerah.\nPemerintah Daerah itu salah satu alat dalam sistem penyelenggaraan pemerintahan. \nkok nangkap 2 orang yang baru makan siang. https://t.co/CakUxkYxgn';negatif
Aturan pelarangan warung buka di bulan romadlon saya kira bagus... Kalau dibarengi dengan aturan bagi umat islam yg gak berpuasa dihukum cambuk... \n\nSatpol PP nya kalau kedapatan gak puasa... Suruh ganti rejeki pemilik warteg yg dipaksa tutup..\n\nhttps://t.co/dh6fJZzZOr';negatif
" Lah, kan mereka yang buka awal"", kenapa jadi satpol pp yang ribet? Aneh bener\xf0\x9f\xa4\x94'";negatif
hal beginian mah dr dulu udah ada dan ada peraturan di beberapa daerah soal hal ini\n\nMau dr FPI dulu yg membubarkan atau Satpol PP sekarang pasti mereka membawa soal begini ke melalui jalur hukum meskipun mrk kasar ke penjual\n\nKita bisa apa mah selain ngoceh di medsos hahaha';positif
"Mau tanya sama warga banten, kebijakan ini memang ada tertulis kah atau cuma ""tugas2an"" satpol pp aja?\n\nBbrp tahun lalu jg sempat viral banget ibu2 ga tau daerah mana lg buka warteg terus makanannya disitu gitu. Ga ngerti lagi \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80'";negatif
Para Satpol PP dungu mana faham konsep sesederhana ini. Anggota Satpol PP menghasilkan uang tidak seperti para pedagang dimana para pedagang harus bangun pagi &amp;negatif
Satpol pp ngobrak ngabrik warung makan saat berpuasa , ya sama aja gak bisa jaga puasanya';negatif
Baru baca berita kalo ada warteg yg magicomnya disita sama satpol PP...\nMon maap, ni...\nMasalahnya dimana dah? Kan dia dagang tertutup. Kalo udh dagang tertutup trs ada yg batal puasa gegara makan ya salah orangnya lah wkwkwk';negatif
Satpol pp kek utusan tuhan dan ngerasa paling bener . Biarin aja sih orang cari rezeki juga, yang gak puasa juga biarin jadi urusana dia sama tuhan nya';negatif
Kurang setuju dgn aksi satpol PP yang selalu tidak pro kpd rakyat kecil. Warung kecil aja bisa di grebek, sebenarnya ya biarkan saja. Namanya juga bulan Ramadhan dimana keimanan seseorang itu diuji, kasian mereka yang cari rejeki tapi dari atas sana ga ada solusi main gruduk aja.';negatif
jahat bgt satpol pp nya';negatif
Yg disalahin Satpol PP, kan yg bikin perda bukan Satpol PP. xP salah server kok sering..';positif
Telek wedus satpol PP';negatif
tadi sempet baca tweet salah satu pemuka agama tentang warung makan yg digrebek sama satpol pp, terus dia bilang kalo yg digrebek itu rata rata warung makan kecil sedangkan restoran gede yang di mall atau hotel ga digrebek. kayanya gini bgt idup jadi masyarakat kecil di indonesia';negatif
Mending bubarin aja satpol pp nya, lembaga gak guna.';negatif
makin lama makin caper deh';negatif
Satpol PP hanya menjalankan tugas, yg bkin aturan nih yg mesleg';positif
ngeliat video satpol pp yang nyita mejikom warteg karena buka dan kebetulan ada cust dua orang lagi makan kok rasanya aneh banget, ya. kenapa ngurusin ibadah orang yang sifatnya hubungan manusia langsung sama tuhan, kesannya maksa dan malah mereka yang jadi ga ngehormatin orang.';negatif
Satpol PP di Kota Serang sepertinya sangat gabut ya? Sibuk merazia warung makan yang buka dan tidak segan memberikan sanksi. Coba deh disuruh gusur bangunan liar yang berada di lahan pemerintah, mana berani kalau enggak ada TNI-Polri. Merasa bersama Tuhan tapi takut sama preman.';negatif
Ini tu satpol pp kurang kerjaan kayanya';negatif
satpol pp beraninya gerebek warung makan kecil, kalo mau sekalian gerebek tu resto2 di mall';negatif
Ga semua ya kak, di jawa timur di sini juga banyak warung yang buka tapi ga pernah di masuki satpol PP';positif
kota serang nih sekarang lebay banget anj apa apa di hukum, alah satpol pp nya aja ga puasa palingan mojok di kantor ngerokok sama kopi. satpoll pp mana sih kp3b apa kota? sok iye banget puasa mah urusan masing2 lah lagian tu warteg ga buka bukaan sama sekali udah tutup kain https://t.co/oEoIaCFgW4';negatif
Mending ngomong langsung atau bikin surat buat Satpol PP serang, jangan cuma di sosmed percuma ga ada tanggapan.';positif
Satpol PP itu penegak perda, jadi jangan disalahkan instansi nya yg disalahkan justru perda nya...';positif
Astaga satpol PP berasa tuhan';negatif
Itu kan yg razia satpol pp, bagian dari penegakan hukum.\nKalau tak mau ikut aturan, jangan tinggal di Indonesia.\nTinggak di laut lepas saja kalian yg pembangkang2 ini.';positif
Sabar ya satpol PP';positif
"Aku bingung sama pemerintah mereka melarang ormas FPI yg sering ""sweeping"" orang makan diwarung, satu sisi lain aku liat Satpol PP ngelakuin itu sekarang. Mau mereka apa sebenarnya?'";negatif
ini negara makin aneh aja. orang jualan siang siang satpol PP nya yg ribet. surga neraka masing masing woy';negatif
males banget liat soal satpol pp nyita warung yg buka disiang hari. ewyoohhhhh';negatif
Agak gk setuju sihh sama satpol pp yg merazia warteg2 gtu. I mean yaa mreka kan jg udh nutupin pke tirai gtu, at least udh try to menghormati gtu loh.';negatif
Seriusan ngapain sih satpol PP ngurusin ibadah orang. Lebay banget..';negatif
